JD,WD,new
125.2691745061465,35.93823924292488,"125.2691745061465,35.93823924292488"
124.1967995391159,38.36213123766715,"124.1967995391159,38.36213123766715"
125.4074906531124,36.08478136940942,"125.4074906531124,36.08478136940942"
124.93191157865627,36.52277435455724,"124.93191157865627,36.52277435455724"
124.47548196060843,37.74788500744946,"124.47548196060843,37.74788500744946"
125.42138649014727,35.37862317618572,"125.42138649014727,35.37862317618572"
125.45575393617673,34.90380997697785,"125.45575393617673,34.90380997697785"
125.32500138438873,36.194798244517756,"125.32500138438873,36.194798244517756"
124.66752443133599,37.078448154761965,"124.66752443133599,37.078448154761965"
124.35050226220228,38.89458470631702,"124.35050226220228,38.89458470631702"
125.34896592044991,36.0796887476724,"125.34896592044991,36.0796887476724"
125.05547614929033,36.43152407549328,"125.05547614929033,36.43152407549328"
124.55937967698105,37.491700827359914,"124.55937967698105,37.491700827359914"
125.43409994215985,35.21175820746555,"125.43409994215985,35.21175820746555"
125.40381525463378,35.61564197399755,"125.40381525463378,35.61564197399755"
125.32729685193178,36.26405707424862,"125.32729685193178,36.26405707424862"
124.14593699446183,37.9959854609281,"124.14593699446183,37.9959854609281"
124.1688149214884,38.188075520481036,"124.1688149214884,38.188075520481036"
124.33085689254133,37.76887349871462,"124.33085689254133,37.76887349871462"
125.39861305484446,35.85842642922101,"125.39861305484446,35.85842642922101"
124.60462176832411,37.12614402303461,"124.60462176832411,37.12614402303461"
124.22410882909378,38.242129411675286,"124.22410882909378,38.242129411675286"
124.11777806609092,37.95830064213276,"124.11777806609092,37.95830064213276"
124.55831169597491,37.373847241634174,"124.55831169597491,37.373847241634174"
124.66869278457688,36.8913641933854,"124.66869278457688,36.8913641933854"
124.25032711001084,38.52421956228633,"124.25032711001084,38.52421956228633"
125.2286777843058,36.35786224299527,"125.2286777843058,36.35786224299527"
125.33335864482734,34.6144400354811,"125.33335864482734,34.6144400354811"
125.44253275196138,35.05028683451614,"125.44253275196138,35.05028683451614"
125.1770035227004,36.37296626230403,"125.1770035227004,36.37296626230403"
125.4230873795058,35.71300811047254,"125.4230873795058,35.71300811047254"
124.2684267728836,38.66924831942744,"124.2684267728836,38.66924831942744"
124.81965083351051,36.621802926142514,"124.81965083351051,36.621802926142514"
125.30819731680215,35.81799314492818,"125.30819731680215,35.81799314492818"
125.38848292046309,36.039847753764384,"125.38848292046309,36.039847753764384"
125.41418908321144,34.771789662506436,"125.41418908321144,34.771789662506436"
125.3884677439677,34.8790814107629,"125.3884677439677,34.8790814107629"
124.266430890213,38.36558265189976,"124.266430890213,38.36558265189976"
125.1355832028122,36.43483040922446,"125.1355832028122,36.43483040922446"
124.88953373025763,36.5476495244399,"124.88953373025763,36.5476495244399"
125.41320640875745,35.32022164941696,"125.41320640875745,35.32022164941696"
124.30209876541336,38.736603516703774,"124.30209876541336,38.736603516703774"
125.25444601808367,36.02780869305185,"125.25444601808367,36.02780869305185"
124.61498322802476,37.05920370128595,"124.61498322802476,37.05920370128595"
125.38721987637291,34.57919781277385,"125.38721987637291,34.57919781277385"
124.66026808332566,36.76386345966196,"124.66026808332566,36.76386345966196"
125.4230933146818,35.07147167147743,"125.4230933146818,35.07147167147743"
124.62289820483588,36.964016537731624,"124.62289820483588,36.964016537731624"
124.17654198787288,37.86989379589547,"124.17654198787288,37.86989379589547"
124.95508347060887,36.54683771923136,"124.95508347060887,36.54683771923136"
124.3135613524516,38.65404674203423,"124.3135613524516,38.65404674203423"
124.6168081695693,37.34004187896235,"124.6168081695693,37.34004187896235"
125.4003026423992,35.49852865126293,"125.4003026423992,35.49852865126293"
124.30907628742966,37.81122379243567,"124.30907628742966,37.81122379243567"
125.22524407627346,36.312614251552624,"125.22524407627346,36.312614251552624"
125.40675865965224,35.177727850263814,"125.40675865965224,35.177727850263814"
124.71280525855616,36.8465264064348,"124.71280525855616,36.8465264064348"
124.5327956148929,37.57595134243724,"124.5327956148929,37.57595134243724"
125.34907058395645,35.97338089287529,"125.34907058395645,35.97338089287529"
125.31281906236627,36.122844775805675,"125.31281906236627,36.122844775805675"
125.395212965673,34.951875728558576,"125.395212965673,34.951875728558576"
125.33212356475985,36.15236715876606,"125.33212356475985,36.15236715876606"
124.96940088321062,36.476422005155015,"124.96940088321062,36.476422005155015"
125.39144245069723,34.68393905946183,"125.39144245069723,34.68393905946183"
124.46267887263433,37.7773387992562,"124.46267887263433,37.7773387992562"
125.4217273605409,34.69312353672085,"125.4217273605409,34.69312353672085"
125.419175186441,34.624043450250504,"125.419175186441,34.624043450250504"
125.44795211631927,35.09125943275224,"125.44795211631927,35.09125943275224"
125.01162002945125,36.43595965623984,"125.01162002945125,36.43595965623984"
124.529027788017,37.52779280826518,"124.529027788017,37.52779280826518"
124.27214619829233,37.9055824714287,"124.27214619829233,37.9055824714287"
124.846000759139,36.49259605718107,"124.846000759139,36.49259605718107"
124.71875102902872,36.66731939292991,"124.71875102902872,36.66731939292991"
124.14792652457588,38.08647335000614,"124.14792652457588,38.08647335000614"
124.23288889069987,37.91028909707826,"124.23288889069987,37.91028909707826"
124.3625557522015,38.789757680799866,"124.3625557522015,38.789757680799866"
124.57026316430242,37.5745426840852,"124.57026316430242,37.5745426840852"
125.34565320386208,36.228718352962154,"125.34565320386208,36.228718352962154"
124.17007094172509,38.29859708724456,"124.17007094172509,38.29859708724456"
125.041086155627,36.360520975971546,"125.041086155627,36.360520975971546"
125.35449348976807,34.55965338845717,"125.35449348976807,34.55965338845717"
124.373391712125,38.83578323317889,"124.373391712125,38.83578323317889"
124.600695670193,37.25972564425295,"124.600695670193,37.25972564425295"
124.48323655667627,37.68513834510297,"124.48323655667627,37.68513834510297"
124.09527593540066,38.00051270458792,"124.09527593540066,38.00051270458792"
124.66093941071645,36.94291784273789,"124.66093941071645,36.94291784273789"
124.36781194053525,38.87286878589485,"124.36781194053525,38.87286878589485"
124.22582021588856,38.380919942432094,"124.22582021588856,38.380919942432094"
124.2365741034005,37.792220912829,"124.2365741034005,37.792220912829"
125.25589839334162,36.300361068121816,"125.25589839334162,36.300361068121816"
124.19160988219008,38.14782883622394,"124.19160988219008,38.14782883622394"
125.03723738910386,36.53214070792181,"125.03723738910386,36.53214070792181"
125.31858465943489,36.08836233396526,"125.31858465943489,36.08836233396526"
125.345342356139,35.663939254164305,"125.345342356139,35.663939254164305"
125.35376335105074,35.758487342862345,"125.35376335105074,35.758487342862345"
124.53919019475822,37.69681344353664,"124.53919019475822,37.69681344353664"
