WD,JD,new
32.19871525,122.8310317,"122.8310317,32.19871525"
32.21498898,122.82615009999999,"122.82615009999999,32.21498898"
32.23126271,122.82122450000001,"122.82122450000001,32.23126271"
32.24753644,122.816254,"122.816254,32.24753644"
32.26381017,122.81123799999999,"122.81123799999999,32.26381017"
32.2800839,122.8061754,"122.8061754,32.2800839"
32.29635763,122.80106540000001,"122.80106540000001,32.29635763"
32.31263136,122.79590719999999,"122.79590719999999,32.31263136"
32.32890508,122.7907,"122.7907,32.32890508"
32.34517881,122.78544280000001,"122.78544280000001,32.34517881"
32.36145254,122.7801348,"122.7801348,32.36145254"
32.37772627,122.7747753,"122.7747753,32.37772627"
32.394,122.7693632,"122.7693632,32.394"
32.41027373,122.7638978,"122.7638978,32.41027373"
32.42654746,122.7583783,"122.7583783,32.42654746"
32.44282119,122.7528038,"122.7528038,32.44282119"
32.45909492,122.74717350000002,"122.74717350000002,32.45909492"
32.47536864,122.74148659999999,"122.74148659999999,32.47536864"
32.49164237,122.7357424,"122.7357424,32.49164237"
32.5079161,122.72993999999998,"122.72993999999998,32.5079161"
32.52418983,122.7240787,"122.7240787,32.52418983"
32.54046356,122.7181577,"122.7181577,32.54046356"
32.55673729,122.71217639999999,"122.71217639999999,32.55673729"
32.57301102,122.706134,"122.706134,32.57301102"
32.58928475,122.70002990000002,"122.70002990000002,32.58928475"
32.60555847,122.69386329999999,"122.69386329999999,32.60555847"
32.6218322,122.6876338,"122.6876338,32.6218322"
32.63810593,122.6813406,"122.6813406,32.63810593"
32.65437966,122.6749833,"122.6749833,32.65437966"
32.67065339,122.6685613,"122.6685613,32.67065339"
32.68692712,122.6620741,"122.6620741,32.68692712"
32.70320085,122.6555213,"122.6555213,32.70320085"
32.71947458,122.6489024,"122.6489024,32.71947458"
32.73574831,122.64221709999998,"122.64221709999998,32.73574831"
32.75202203,122.63546509999999,"122.63546509999999,32.75202203"
32.76829576,122.62864609999998,"122.62864609999998,32.76829576"
32.78456949,122.6217598,"122.6217598,32.78456949"
32.80084322,122.6148061,"122.6148061,32.80084322"
32.81711695,122.60778490000001,"122.60778490000001,32.81711695"
32.83339068,122.6006961,"122.6006961,32.83339068"
32.84966441,122.59353970000001,"122.59353970000001,32.84966441"
32.86593814,122.58631580000001,"122.58631580000001,32.86593814"
32.88221186,122.57902450000002,"122.57902450000002,32.88221186"
32.89848559,122.571666,"122.571666,32.89848559"
32.91475932,122.56424059999999,"122.56424059999999,32.91475932"
32.93103305,122.5567486,"122.5567486,32.93103305"
32.94730678,122.54919050000001,"122.54919050000001,32.94730678"
32.96358051,122.54156680000001,"122.54156680000001,32.96358051"
32.97985424,122.533878,"122.533878,32.97985424"
32.99612797,122.52612479999999,"122.52612479999999,32.99612797"
33.01240169,122.5183081,"122.5183081,33.01240169"
33.02867542,122.51042859999998,"122.51042859999998,33.02867542"
33.04494915,122.5024874,"122.5024874,33.04494915"
33.06122288,122.4944855,"122.4944855,33.06122288"
