WD,JD,new
27.1019913,121.5793308,"121.5793308,27.1019913"
27.110762599999997,121.5987097,"121.5987097,27.110762599999997"
27.119533899999997,121.6184909,"121.6184909,27.119533899999997"
27.128305199999996,121.6386538,"121.6386538,27.128305199999996"
27.137076500000003,121.659177,"121.659177,27.137076500000003"
27.1458478,121.6800385,"121.6800385,27.1458478"
27.154619099999998,121.7012157,"121.7012157,27.154619099999998"
27.163390399999997,121.7226855,"121.7226855,27.163390399999997"
27.17216169,121.744424,"121.744424,27.17216169"
27.18093299,121.76640729999998,"121.76640729999998,27.18093299"
27.18970429,121.7886107,"121.7886107,27.18970429"
27.19847559,121.81100929999998,"121.81100929999998,27.19847559"
27.20724689,121.83357779999999,"121.83357779999999,27.20724689"
27.21601819,121.85629070000002,"121.85629070000002,27.21601819"
27.22478949,121.8791223,"121.8791223,27.22478949"
27.23356079,121.90204650000001,"121.90204650000001,27.23356079"
27.24233209,121.92503729999999,"121.92503729999999,27.24233209"
27.25110339,121.9480687,"121.9480687,27.25110339"
27.25987469,121.9711145,"121.9711145,27.25987469"
27.26864599,121.99414850000001,"121.99414850000001,27.26864599"
27.27741729,122.01714469999999,"122.01714469999999,27.27741729"
27.28618859,122.04007709999999,"122.04007709999999,27.28618859"
27.29495989,122.06292009999999,"122.06292009999999,27.29495989"
27.30373119,122.08564809999999,"122.08564809999999,27.30373119"
27.31250249,122.10823590000001,"122.10823590000001,27.31250249"
27.32127379,122.1306585,"122.1306585,27.32127379"
27.33004508,122.1528913,"122.1528913,27.33004508"
27.33881638,122.1749102,"122.1749102,27.33881638"
27.34758768,122.1966914,"122.1966914,27.34758768"
27.35635898,122.2182118,"122.2182118,27.35635898"
27.36513028,122.2394486,"122.2394486,27.36513028"
27.37390158,122.2603797,"122.2603797,27.37390158"
27.38267288,122.28098359999998,"122.28098359999998,27.38267288"
27.39144418,122.30123950000001,"122.30123950000001,27.39144418"
27.40021548,122.3211272,"122.3211272,27.40021548"
27.40898678,122.34062720000001,"122.34062720000001,27.40898678"
27.41775808,122.3597209,"122.3597209,27.41775808"
27.42652938,122.37839029999999,"122.37839029999999,27.42652938"
27.43530068,122.39661840000001,"122.39661840000001,27.43530068"
27.44407198,122.4143888,"122.4143888,27.44407198"
27.45284328,122.4316862,"122.4316862,27.45284328"
27.46161458,122.44849599999999,"122.44849599999999,27.46161458"
