JD,WD,new
127.967503023113,33.0815682649855,"127.967503023113,33.0815682649855"
127.947729898267,33.0785940473617,"127.947729898267,33.0785940473617"
127.928614984184,33.075718835943,"127.928614984184,33.075718835943"
127.90936423927299,33.0728231932344,"127.90936423927299,33.0728231932344"
127.889340206329,33.0698112347228,"127.889340206329,33.0698112347228"
127.86897408631,33.0667478204392,"127.86897408631,33.0667478204392"
127.849315600317,33.0637908464681,"127.849315600317,33.0637908464681"
127.82742811536501,33.0604985927657,"127.82742811536501,33.0604985927657"
127.805972086145,33.0572712374165,"127.805972086145,33.0572712374165"
127.78640646166001,33.0543282314114,"127.78640646166001,33.0543282314114"
127.767292093151,33.0514531020564,"127.767292093151,33.0514531020564"
127.74765953264799,33.0485000277243,"127.74765953264799,33.0485000277243"
127.726667237552,33.045342425953,"127.726667237552,33.045342425953"
127.705925300726,33.0422224823661,"127.705925300726,33.0422224823661"
127.685614876899,33.039167445746195,"127.685614876899,33.039167445746195"
127.66562808058399,33.0361610882634,"127.66562808058399,33.0361610882634"
127.64659460891701,33.033298127182896,"127.64659460891701,33.033298127182896"
127.627245276297,33.0303876551895,"127.627245276297,33.0303876551895"
127.605690073738,33.0271453824667,"127.605690073738,33.0271453824667"
127.585217076408,33.024065891999506,"127.585217076408,33.024065891999506"
127.564709979744,33.0209812724068,"127.564709979744,33.0209812724068"
127.54330096548401,33.0177609889153,"127.54330096548401,33.0177609889153"
127.522380962371,33.014614261099894,"127.522380962371,33.014614261099894"
127.500894650186,33.0113823506727,"127.500894650186,33.0113823506727"
127.48093764217899,33.0083804738629,"127.48093764217899,33.0083804738629"
127.460547678011,33.0053134730097,"127.460547678011,33.0053134730097"
127.440563714005,33.0023075415546,"127.440563714005,33.0023075415546"
127.419823840241,32.9991879082876,"127.419823840241,32.9991879082876"
127.39797393456699,32.9959013071541,"127.39797393456699,32.9959013071541"
127.377306496735,32.9927925694954,"127.377306496735,32.9927925694954"
127.355511841842,32.989514279028505,"127.355511841842,32.989514279028505"
127.33391445252899,32.9862656606931,"127.33391445252899,32.9862656606931"
127.31197275324699,32.9829652522242,"127.31197275324699,32.9829652522242"
127.292898296392,32.9800961262674,"127.292898296392,32.9800961262674"
127.272540383505,32.9770339464774,"127.272540383505,32.9770339464774"
127.25179397387501,32.973913330103805,"127.25179397387501,32.973913330103805"
127.230341525968,32.9706865134457,"127.230341525968,32.9706865134457"
127.209958810926,32.9676206029854,"127.209958810926,32.9676206029854"
127.190096746478,32.9646330073179,"127.190096746478,32.9646330073179"
127.170385843526,32.9616681489358,"127.170385843526,32.9616681489358"
127.14963594299,32.95854700747,"127.14963594299,32.95854700747"
